Estado;Antiguedad;Vivienda;Plazo;Edad;EstadoCivil;Registros;Trabajo;Gastos;Ingresos;Activos;Deuda;Cantidad;Precio
bueno;9;alquila;60;30;casado;no;freelance;73;129;0;0;800;846
bueno;17;alquila;60;58;viudo;no;fijo;48;131;0;0;1000;1658
malo;10;propietario;36;46;casado;si;freelance;90;200;3000;0;2000;2985
bueno;0;alquila;60;24;soltero;no;fijo;63;182;2500;0;900;1325
bueno;0;alquila;36;26;soltero;no;fijo;46;107;0;0;310;910
bueno;1;propietario;60;36;casado;no;fijo;75;214;3500;0;650;1645
bueno;29;propietario;60;44;casado;no;fijo;75;125;10000;0;1600;1800
bueno;9;padres;12;27;soltero;no;fijo;35;80;0;0;200;1093
bueno;0;propietario;60;32;casado;no;freelance;90;107;15000;0;1200;1957
malo;0;padres;48;41;casado;no;tiempo parcial;90;80;0;0;1200;1468
bueno;6;propietario;48;34;casado;no;freelance;60;125;4000;0;1150;1577
bueno;7;propietario;36;29;casado;no;fijo;60;121;3000;0;650;915
bueno;8;propietario;60;30;casado;no;fijo;75;199;5000;2500;1500;1650
bueno;19;privado;36;37;casado;no;fijo;75;170;3500;260;600;940
malo;0;otra;18;21;soltero;si;tiempo parcial;35;50;0;0;400;500
bueno;0;propietario;24;68;casado;no;fijo;75;131;4162;0;900;1186
bueno;15;privado;24;52;soltero;no;freelance;35;330;16500;0;1500;2201
bueno;33;alquila;24;68;casado;no;freelance;65;200;5000;2000;600;1350
malo;0;ignorar;48;36;casado;no;tiempo parcial;45;130;750;0;1100;1511
bueno;1;padres;60;31;soltero;no;fijo;35;137;0;0;1250;1253
malo;2;alquila;60;25;soltero;no;fijo;46;107;0;0;1500;2189
bueno;5;propietario;60;22;soltero;no;fijo;45;324;10000;0;1100;1159
malo;1;propietario;60;45;casado;no;tiempo parcial;105;112;2000;500;600;1332
bueno;27;alquila;60;41;casado;no;fijo;74;140;0;0;950;1497
bueno;26;propietario;60;51;casado;no;fijo;45;143;3500;0;1350;1357
bueno;12;propietario;36;54;casado;no;fijo;60;130;4000;0;700;2100
bueno;19;propietario;60;43;soltero;no;fijo;75;180;4000;0;1000;1070
bueno;15;propietario;36;43;casado;no;fijo;75;251;4000;0;1800;2557
malo;3;propietario;24;23;casado;no;fijo;75;85;5000;0;600;1600
malo;0;NA;48;37;soltero;no;NA;35;NA;NA;NA;1500;1850
bueno;4;propietario;48;29;casado;no;fijo;45;150;5000;3300;1100;1312
malo;0;propietario;36;23;soltero;no;tiempo parcial;45;122;2500;0;400;400
bueno;14;privado;24;51;casado;no;tiempo parcial;75;198;1000;0;450;650
bueno;10;propietario;36;39;casado;no;freelance;75;150;3000;0;1000;1394
bueno;12;padres;36;35;soltero;no;fijo;35;170;0;0;1100;1542
bueno;32;propietario;24;62;casado;no;freelance;45;119;8500;0;700;1200
bueno;10;propietario;24;56;casado;no;freelance;45;208;13500;0;500;1560
bueno;7;propietario;48;32;casado;no;fijo;75;115;3000;0;800;1200
malo;1;alquila;54;36;casado;no;fijo;70;99;0;0;950;950
bueno;30;propietario;60;64;casado;no;fijo;45;120;14000;0;1125;1300
malo;5;alquila;48;31;soltero;no;fijo;44;90;0;0;1300;1700
bueno;24;propietario;60;42;casado;no;fijo;75;137;4000;0;900;1167
bueno;0;propietario;60;61;viudo;no;otros;35;230;50000;0;950;1150
malo;0;propietario;60;32;casado;si;fijo;45;142;7000;3000;1250;1566
malo;2;propietario;60;43;casado;no;tiempo parcial;75;71;3000;0;1500;1552
bueno;1;padres;60;26;soltero;no;tiempo parcial;35;120;0;0;1150;1300
bueno;1;propietario;60;49;viudo;no;freelance;35;233;15900;4500;2100;2104
bueno;15;propietario;36;47;casado;no;fijo;75;289;3500;0;1500;2154
malo;2;alquila;36;27;separado;no;fijo;48;128;0;0;450;545
bueno;25;propietario;36;52;casado;no;freelance;60;150;15000;0;750;1778
bueno;8;propietario;60;28;casado;no;fijo;60;145;4000;1000;1600;1718
bueno;5;propietario;60;31;casado;no;fijo;75;90;4000;0;900;1500
bueno;0;alquila;60;32;casado;no;fijo;105;301;0;0;1200;1274
bueno;5;propietario;36;51;casado;no;freelance;75;200;2100;1200;900;1015
bueno;3;padres;12;37;casado;no;freelance;60;150;500;0;500;1701
malo;1;alquila;48;29;casado;si;freelance;85;100;0;0;1000;1345
bueno;7;padres;60;26;soltero;no;fijo;35;100;0;0;1000;1238
bueno;4;padres;30;27;soltero;no;fijo;45;100;5000;0;500;1048
bueno;6;propietario;24;63;casado;no;fijo;60;155;4000;0;600;1048
bueno;14;propietario;24;55;casado;no;fijo;90;715;5000;0;800;1324
bueno;3;alquila;60;28;casado;no;fijo;70;245;0;0;1830;2201
bueno;8;alquila;48;31;casado;no;fijo;90;150;0;0;1100;1430
malo;4;padres;42;27;soltero;no;fijo;35;70;0;0;600;926
bueno;22;propietario;24;40;casado;no;fijo;75;190;3000;0;1000;1500
bueno;2;propietario;36;35;casado;no;fijo;75;152;3000;0;1000;1542
bueno;15;privado;60;43;casado;no;fijo;75;126;3000;0;1350;1360
bueno;10;propietario;18;34;casado;no;freelance;75;181;4000;0;600;1000
bueno;4;propietario;60;37;casado;no;fijo;60;185;3000;0;1200;1564
bueno;9;propietario;60;53;casado;no;fijo;45;170;2500;0;850;1205
bueno;22;alquila;60;46;casado;no;fijo;93;176;7500;0;2000;2200
bueno;18;padres;36;36;casado;no;freelance;60;238;0;0;900;2214
bueno;1;privado;60;46;casado;no;fijo;60;115;5500;800;1000;1137
bueno;14;propietario;48;43;casado;no;fijo;45;200;9000;0;600;1025
bueno;8;propietario;36;31;casado;si;freelance;75;411;9000;4000;800;1593
bueno;5;propietario;24;43;casado;no;fijo;75;93;3000;0;700;1735
bueno;19;alquila;60;38;casado;no;fijo;86;108;0;0;1000;1132
