FacturaID,Oficina,Ciudad,LineaProducto,PrecioUnitario,Cantidad,Impuestos,Total,FechaCompra,HoraCompra,MetodoPago,Costos,IngresosBrutos,Rating
101-17-6199,A,Plymouth,Food and beverages,45.79,7,16.03,336.56,13/03/2023,19:44:00,Credit card,320.53,16.03,7
101-81-4070,C,Glasgow,Health and beauty,62.82,2,6.28,131.92,17/01/2023,12:36:00,Ewallet,125.64,6.28,4.9
102-06-2002,C,Glasgow,Sports and travel,25.25,5,6.31,132.56,20/03/2023,17:52:00,Cash,126.25,6.31,6.1
102-77-2261,C,Glasgow,Health and beauty,65.31,7,22.86,480.03,5/03/2023,18:02:00,Credit card,457.17,22.86,4.2
105-10-6182,A,Plymouth,Fashion accessories,21.48,2,2.15,45.11,27/02/2023,12:22:00,Ewallet,42.96,2.15,6.6
105-31-1824,A,Plymouth,Sports and travel,69.52,7,24.33,510.97,1/02/2023,15:10:00,Credit card,486.64,24.33,8.5
106-35-6779,A,Plymouth,Home and lifestyle,44.34,2,4.43,93.11,27/03/2023,11:26:00,Cash,88.68,4.43,5.8
109-28-2512,B,Bristol,Fashion accessories,97.61,6,29.28,614.94,7/01/2023,15:01:00,Ewallet,585.66,29.28,9.9
109-86-4363,B,Bristol,Sports and travel,60.08,7,21.03,441.59,14/02/2023,11:36:00,Credit card,420.56,21.03,4.5
110-05-6330,C,Glasgow,Food and beverages,39.43,6,11.83,248.41,25/03/2023,20:18:00,Credit card,236.58,11.83,9.4
110-48-7033,B,Bristol,Fashion accessories,32.62,4,6.52,137,29/01/2023,14:12:00,Cash,130.48,6.52,9
114-35-5271,B,Bristol,Electronic accessories,57.91,8,23.16,486.44,7/02/2023,15:06:00,Cash,463.28,23.16,8.1
115-38-7388,C,Glasgow,Fashion accessories,10.18,8,4.07,85.51,30/03/2023,12:51:00,Credit card,81.44,4.07,9.5
115-99-4379,B,Bristol,Fashion accessories,54.73,7,19.16,402.27,14/03/2023,19:02:00,Credit card,383.11,19.16,8.5
118-62-1812,C,Glasgow,Home and lifestyle,78.38,4,15.68,329.2,24/03/2023,17:56:00,Cash,313.52,15.68,7.9
120-06-4233,C,Glasgow,Electronic accessories,30.61,6,9.18,192.84,12/03/2023,20:36:00,Cash,183.66,9.18,9.3
120-54-2248,B,Bristol,Food and beverages,28.86,5,7.22,151.51,22/01/2023,18:08:00,Credit card,144.3,7.22,8
122-61-9553,C,Glasgow,Electronic accessories,51.32,9,23.09,484.97,14/03/2023,19:33:00,Cash,461.88,23.09,5.6
123-19-1176,A,Plymouth,Health and beauty,58.22,8,23.29,489.05,27/01/2023,20:33:00,Ewallet,465.76,23.29,8.4
123-35-4896,C,Glasgow,Sports and travel,46.66,9,21,440.94,17/02/2023,19:11:00,Ewallet,419.94,21,5.3
124-31-1458,A,Plymouth,Electronic accessories,79.59,3,11.94,250.71,8/01/2023,14:30:00,Cash,238.77,11.94,6.6
