Edad,Genero,Nivel_Educativo,Ingresos_Mensuales
56,0,3,14110.533534852704
46,0,3,3735.6671322942047
32,1,3,1250.2513918269697
60,0,1,4867.794235092741
25,0,2,4654.47375050359
38,0,3,5552.739831322862
56,0,2,14345.075998809865
36,0,3,8580.282775408463
40,0,3,6893.618229607488
28,0,3,12530.149070367559
28,1,2,19908.511900824335
41,0,3,2035.1717074998132
53,0,3,15978.376379957695
57,1,1,410.5720616464723
41,1,2,6621.660566207252
20,1,1,3316.2014038489147
39,1,2,8510.613248513873
19,1,2,12479.533425665217
41,1,2,8516.119221400952
61,1,1,5628.267002503853
47,1,2,2175.671398056569
55,0,3,3572.033705521746
19,1,2,6957.496303998378
38,0,2,-5509.095849452515
50,1,2,20571.93377007448
29,0,3,5200.775694166972
39,0,3,5108.028171397995
61,1,2,9240.654691549275
42,1,2,-2455.4540950596747
44,1,3,4635.472786080897
59,1,3,8715.92896717476
45,1,2,4895.333771286745
33,1,3,11726.79905024703
32,0,1,1402.9171715906177
64,0,3,5596.704311919077
61,0,3,8579.380013564702
20,0,1,7402.100617790736
54,1,3,10537.898378948958
24,1,1,6199.760731191529
38,1,1,4507.549464217291
26,0,3,4274.813286837381
56,1,2,10263.992553982744
35,1,1,5107.989174606963
21,0,1,3928.3954827081416
42,1,2,9685.516970712417
31,1,3,11512.30805732993
26,1,2,570.3763908590736
43,0,2,3701.6309966874774
19,0,1,4722.295072734432
37,1,2,10136.005634845671
45,0,2,4478.69023244028
64,1,2,-1648.388600071552
24,0,3,6052.861681989921
61,0,2,11455.508142601675
25,0,3,6294.49360239831
64,1,3,9395.739098876013
52,0,2,6708.440180714191
31,0,3,3280.2310957855907
34,0,3,2935.713411171075
53,0,2,1940.6930941067385
57,0,3,8887.714545466659
21,1,2,1293.0834909776531
19,1,1,2573.7269486223868
23,0,1,868.4094397403592
59,1,2,11193.683790272267
21,0,3,9409.59044976984
46,1,1,-1007.0234855390017
35,0,2,10822.695176104342
43,0,2,9743.169738307832
61,0,1,11089.778675010679
51,0,1,6680.345366514937
27,0,1,1890.1544604806538
53,0,3,13089.520932916519
31,0,2,-1163.5134083402054
48,1,3,8896.563054254255
65,1,2,6522.628234588134
32,1,1,3948.732014863537
25,0,3,5609.67579647994
31,0,3,-6450.639611209512
40,1,2,2544.9634669127463
57,1,1,5129.097536263948
38,1,1,-2229.2415273852785
33,0,1,7962.599162917193
62,1,3,11151.999508396084
35,0,3,5233.160255621782
64,1,1,8160.8418751817935
41,1,3,2708.775792120211
43,1,1,10636.65927233368
42,1,2,13375.874861745688
62,0,2,2571.0716340624813
58,1,3,10890.612093832706
46,0,2,5441.0796251669835
32,0,2,15602.747684520658
62,0,2,5042.762018689612
18,0,2,10479.808199942727
42,0,3,4738.889211668602
24,1,2,-8090.424507557196
26,1,2,4381.807489258467
41,1,1,4384.544851602872
18,1,2,-77.87319270016042
61,0,1,10527.009571460614
25,1,2,8956.278468536726
41,1,2,3322.390901888347
28,1,1,7301.273660033985
34,0,2,5458.445371495564
25,1,1,3850.1885087690416
52,0,3,10155.568356440734
52,0,3,2085.769840837045
50,1,3,12784.403290085367
22,0,3,-25.113968502114403
59,1,2,4314.677872557401
56,1,3,12130.573372433702
58,1,1,10295.416909683903
45,0,2,5410.800149120098
24,1,1,-64.32693540472383
26,1,3,13158.280631798505
25,1,1,13404.787774995917
29,1,3,10017.608837497786
51,1,2,1166.928920958483
50,1,1,7513.850893498964
65,0,3,8538.421146026943
40,0,3,5715.668191053931
41,0,2,11005.715145382244
54,1,3,4099.596300667202
52,0,3,4325.6591519329395
61,1,1,6133.776191211045
57,0,3,9962.436909782778
39,0,1,6147.575638631169
44,0,3,14278.528845367246
52,1,1,10529.24753564393
18,0,3,6395.562722228929
52,0,3,15437.261754144683
54,1,1,3706.640922713873
64,1,3,14891.830359099662
31,0,1,9292.727976664026
20,1,1,13531.97961983597
18,0,2,6913.176498602967
22,0,3,2354.5721744469874
43,1,2,4488.3872391310215
31,0,2,1231.603067403415
56,1,3,22622.33017253904
44,0,2,11299.616922970443
26,0,3,8861.732102319618
32,1,2,14899.022090582237
32,0,3,10098.279092158886
43,0,3,13583.039739875892
59,1,1,9846.802869226001
30,1,2,5178.0582958864225
49,1,3,-1970.3847623471538
56,0,1,6430.792315589124
49,1,2,11913.985010126378
21,1,1,1665.5266262970247
47,1,3,6759.63206421474
54,1,1,5068.889301377419
40,1,3,10167.89939741894
56,0,2,4441.51057473102
62,0,3,6693.622349721835
32,0,1,-475.7972401773459
60,0,2,4864.510315865336
46,0,1,677.0249395682367
53,0,1,5424.963435822108
30,1,1,14487.507596387573
49,0,1,9706.507229617479
24,1,2,4180.942936131595
39,1,2,10802.567671878365
45,1,1,-4425.161379091613
19,1,1,13295.152300957116
59,0,3,11334.476398225579
62,0,3,7752.555344709718
23,0,2,1264.114372293986
45,0,2,7761.455464815198
45,1,3,1446.187660734373
61,0,1,3791.1501980021653
61,1,1,16355.485750786724
37,0,1,-589.5652137857278
47,1,1,-4667.5326243554755
28,0,2,7186.952891246315
45,0,3,10423.05853587413
42,1,2,7269.730575119235
56,0,1,9119.274328797062
50,0,1,14409.457251516085
18,0,2,6081.5688851805735
44,1,2,13888.998801671853
30,0,1,-9.733756707883913
58,1,1,3622.9767945470326
20,1,1,3237.2124471030975
56,0,1,9829.34684024481
23,0,2,3361.6760678809496
25,1,2,2770.5371738281037
44,0,2,2345.968114835586
26,1,2,4302.615330948564
54,1,1,-1695.9772571484136
50,1,1,6969.994231256702
59,1,3,-572.1452182569465
61,0,1,12968.592452176767
41,0,2,3456.689415979597
32,0,2,-3206.011790511129
49,0,1,7805.12968312556
49,1,2,9635.720765156238
41,0,1,1908.3468062090274
58,1,3,6664.6315041381395
29,0,3,5369.362713155298
56,0,1,2768.2909797077555
19,1,3,3484.594251403254
20,0,3,12819.649244498269
54,0,3,-1348.9926759602913
34,1,3,6711.897700167431
19,1,1,870.9051573038
19,1,3,9327.456499817137
45,1,1,1272.6670471028865
40,1,2,8356.920326798783
54,1,1,616.1666006502019
49,1,1,8495.241810227722
50,1,3,21611.04311248441
18,1,1,7701.376467350167
36,1,1,-8176.060258639429
19,1,3,12596.199304558615
61,0,2,13176.950033181336
43,0,1,8741.902920468965
49,1,2,3945.1001024039815
23,0,1,14726.168979883596
49,1,2,11520.560396353369
21,1,3,9522.079122990526
28,1,1,3586.2490505324718
34,0,3,8467.217677581799
55,1,2,6689.002178509865
41,0,3,11663.11951155103
22,1,2,7253.419364528552
51,0,2,-229.92659664293024
23,0,1,8048.259016431939
39,1,1,4096.2736371774445
28,0,1,11794.5675993677
65,0,1,2419.818219237677
33,1,1,7870.513673438881
50,0,3,8670.824847705118
26,0,3,3332.70725879574
23,0,3,7009.178922073283
33,0,1,6725.056471396152
46,1,1,4192.472238625737
20,0,2,8638.97488658316
37,0,3,8012.870308373789
53,1,2,5515.250390060386
36,0,1,-3761.2045134949294
43,0,3,11233.121957026224
20,0,3,8936.534670563535
36,1,1,5422.270489698238
37,1,2,1299.1840827342276
49,0,3,10945.16676503024
24,1,3,2398.1974832321016
58,1,1,10785.681854715967
50,0,2,10204.717528720083
57,0,1,8802.678960395551
56,1,3,7297.842606614978
35,0,1,5825.790455154261
57,1,3,11025.406010309369
18,1,1,4438.266697617096
28,1,1,1744.8014827199195
45,0,1,-4379.715628525191
42,1,3,5700.7811920281365
40,0,2,-171.43178609929873
48,0,1,4776.323679922062
47,1,1,10444.977517016945
59,0,3,16427.11624820532
52,0,3,10511.18792751288
24,1,3,-1581.7143120958171
33,1,3,9378.358195559693
43,0,1,4072.326706129928
65,0,1,7467.817887147762
19,1,1,-335.27966647136736
18,1,1,11133.196709739364
65,0,3,7380.776361537019
29,0,1,-1520.1541340084432
22,1,3,-130.7141658862456
54,1,3,-143.46749402623755
49,1,3,16132.001043123935
26,0,2,-1764.4920113084472
58,0,1,5798.618585133164
52,0,3,11469.100454807103
36,0,3,9716.205872542298
65,0,3,9357.920550235192
33,0,2,12752.101163729434
20,1,3,584.2286265625435
37,1,1,3908.9614616867584
41,0,3,3466.798673794003
50,0,3,4003.894297074414
41,1,3,3289.383369087437
28,1,2,865.0659819608445
25,1,2,11012.885662924458
53,0,3,11291.610529230775
55,0,3,9286.27652405962
57,0,2,4421.934682794434
37,1,3,12785.234032314478
52,1,2,5280.324544528978
65,1,2,4560.651267471354
42,0,3,3290.704648244195
52,1,3,14434.351018669997
42,0,3,21230.020483730117
46,0,2,11118.898474866122
35,0,1,7008.33430032842
63,1,3,11619.271807003899
35,0,2,7630.622476012826
19,0,3,8025.682264617986
52,0,2,13634.632044101698
33,0,2,3686.513667382529
58,1,2,2914.773400795809
53,0,3,8131.491063397038
50,0,1,5621.43211910998
21,0,3,-3742.6722223081924
50,1,1,6656.685444347261
31,1,1,-1437.020379797068
38,0,1,9609.398504731644
65,1,2,9634.883915505707
37,0,2,10003.359309002812
25,1,2,182.37962061560393
24,1,2,11207.221587838154
20,1,2,11132.620513547987
34,0,2,4933.239554661901
50,1,3,15325.047450206497
65,1,1,17043.086493709998
29,0,1,9783.007394645438
39,0,1,367.3571187834177
39,1,2,4788.560020990019
63,1,2,-1096.2300700833184
47,1,2,584.9902560985793
55,1,1,8554.494690499376
55,1,2,1556.036974563266
62,0,1,12270.33036686402
25,1,3,950.7561331389197
44,0,2,-152.8575842803948
44,1,1,-10841.12378352732
51,1,2,3343.767534573509
38,1,2,13470.483487514732
47,0,3,9059.250463010498
50,0,2,8146.388721531586
45,1,1,5432.826230701387
64,1,2,18435.40472874906
50,0,1,4798.180030796434
22,0,3,4155.034655320482
65,0,1,11902.123450283614
36,1,3,12783.511242984938
21,0,3,1900.9558191954452
52,1,1,3189.965103387221
34,0,3,6201.477728509612
61,0,2,15826.959678171166
45,0,1,-1585.8730993859617
47,1,3,14456.46102277972
46,0,1,6975.285635365224
63,1,1,918.3394300524906
23,1,1,-1932.7351766864977
52,1,1,10266.873582438388
58,1,2,7616.494400353243
54,0,3,11215.28883659824
41,0,2,5049.0047490529605
46,0,1,6903.212699774122
63,0,3,9660.440984734227
48,1,1,4822.390034712509
52,1,3,9172.019810793965
50,1,2,4408.864655586707
38,1,2,16540.064661433687
49,1,1,4405.359386011362
40,1,2,4968.222333876569
50,1,1,3167.508907094078
20,0,3,10117.765814382677
35,1,2,6600.38672924951
42,0,3,1489.783262700029
59,1,3,10908.718136456935
48,1,1,3822.729671134394
20,1,2,3518.413684154286
57,1,2,1756.0307240136017
63,0,1,8592.22810351144
41,0,3,12791.27672337837
49,0,2,10245.231917005312
64,1,1,11351.972352856375
39,0,3,8353.540832328874
40,0,2,8213.239654929112
19,1,1,5993.248785014521
44,0,2,3892.8979943199074
59,1,1,8165.360999106314
19,0,3,11852.516881515186
43,0,3,-392.03347993727493
34,1,1,7080.454007879458
57,0,3,-627.0938684372431
50,1,2,10408.819287462225
26,0,2,-1472.2871253240774
60,0,1,4155.454862758077
65,1,2,5344.840455916203
56,0,2,4515.946961158128
46,1,2,8687.543756555477
59,1,1,14834.73558767977
43,0,1,5465.48017008785
52,1,3,8857.995440009947
42,0,3,15330.955411769879
41,0,1,2861.1142926088673
30,1,3,12723.210407700457
24,1,2,4379.613379599399
53,1,1,9423.133255635457
62,0,3,4503.990276931375
37,0,3,3904.8596622503624
18,1,1,-1529.760621315636
25,0,1,-4078.4614761869343
63,1,3,13372.629917104432
33,1,1,5103.774816156938
31,0,1,8376.199249441888
29,0,3,9560.112726797397
40,1,1,4038.296357818275
32,0,1,7168.127619579733
45,0,1,10746.103898368809
51,0,3,3097.020206154776
19,1,3,5656.176863303253
49,1,3,-919.4208066829215
40,1,1,-631.0550280067428
39,0,3,2224.183894356156
42,0,3,9469.664516894965
39,1,1,9849.687345425486
39,0,3,3360.4252944309965
59,0,3,4003.918296785462
23,1,2,4671.6339553699145
32,0,3,9917.673423107179
60,0,1,3691.9731678548233
54,0,3,6423.46073864772
50,1,3,3890.599887994784
25,1,2,8266.321551274135
61,1,1,9752.996014515535
61,0,1,10671.794413655556
22,0,1,8238.744015785938
56,0,3,6590.829230106485
21,0,1,-1664.2942521900532
23,0,2,-4826.034314905932
62,0,2,4938.3316124456505
49,0,3,7351.229552439424
47,0,3,5873.673521024151
64,0,3,12530.605855197537
52,0,3,2339.5547152898534
57,0,1,29.174874007714607
33,0,3,9570.128008518877
30,0,1,8664.883245474102
59,1,2,7133.707813737166
47,1,3,12016.978067941598
36,1,1,11997.81649658232
34,1,1,8779.61914088194
36,0,1,9048.444737657443
45,1,1,-3.489971915060778
43,1,2,8474.623808352617
54,1,1,12718.31988196994
43,0,3,5079.784953766983
40,1,1,9935.33748189169
26,0,2,-144.43447082416697
29,1,3,7712.813670232021
18,0,2,6301.459101240104
18,1,2,2400.6408939186686
64,0,1,10774.398621673216
51,1,3,6274.60963073192
49,0,1,11542.14301328822
65,1,3,7379.176441870837
42,1,3,10518.274394533566
57,1,2,7887.114108292052
62,0,2,8620.46804271362
18,0,2,-1192.7087580305488
33,0,3,9796.336584725728
56,0,3,5669.171597687996
22,1,3,1561.3622385169465
39,0,1,12238.098575251614
46,1,3,3769.303177164714
20,0,2,-3818.0638290055585
29,1,2,1410.758525546743
43,0,2,5563.8002638995895
33,0,3,15646.469665491835
54,0,2,-2856.906798161099
39,1,1,-2522.926369741086
46,1,2,6112.024089439883
31,1,3,7419.0553238122675
45,1,2,8675.662327678188
22,0,1,-120.11886932022935
64,1,3,12068.35970970171
47,1,2,9841.803801323818
63,0,1,4891.089407593036
22,0,3,4765.349589973895
29,1,3,13151.87317376345
33,1,2,14081.288077402713
43,0,2,-105.44646657535213
43,0,2,247.20959268001025
65,1,2,7760.574277854872
38,1,2,4275.034172736156
56,1,1,3753.3745896092582
53,0,2,2906.4646242823073
50,0,3,8497.548178198365
47,1,3,-3031.824235293525
54,0,3,-3130.7763065244744
40,0,3,7865.53819981778
27,1,2,-2788.181602938179
22,0,2,3710.3587469885883
53,0,1,2229.5710603202074
51,1,1,11799.235412603393
48,1,1,9906.629114948384
27,1,1,12947.056718555437
36,0,1,3799.784934711107
49,0,3,10101.617314468736
18,0,2,3610.1813641505014
22,1,3,7028.542470421582
62,1,1,1829.9210463245727
21,0,2,7023.693033982373
33,0,1,7380.660752956935
41,1,1,9967.14855965058
33,1,2,5206.403408821882
19,1,2,355.9633163032645
45,1,3,-2154.3593849018234
49,0,3,9906.282493809558
44,1,2,1950.0398441538064
37,0,1,-2539.395335150961
41,0,2,16030.584581786812
29,1,3,5858.818894940002
52,0,2,9181.856003668963
50,1,1,-1002.9418622026051
50,1,1,-7.206392367074841
60,1,3,10401.60688492957
54,0,2,-973.3948635625256
29,1,3,6685.205954119723
20,0,2,-4552.9904273619395
18,0,3,7044.085735337563
50,1,1,315.4741919963726
57,0,1,7486.277756948272
27,1,2,-4214.641086805388
60,1,2,9372.856599995028
61,0,3,12512.288832323864
46,0,3,11665.553979212455
30,0,3,10277.572448076004
29,1,3,4457.632005104495
48,1,3,1295.9300781484335
63,1,1,10137.568017300642
19,0,1,560.6853948366829
52,1,1,3801.029016891691
40,0,3,5527.89050212335
34,0,3,6619.296574384127
43,1,1,5974.91484571544
25,1,1,6480.225639983815
46,1,3,2670.4455866416947
43,0,3,3586.6542178247873
27,0,1,3178.504104207883
43,1,1,7614.504365137333
51,0,3,1758.9728431898557
58,0,2,9169.727479140798
24,1,3,7940.181838230848
21,1,2,1694.0044383553536
62,0,3,20224.00834560976
28,1,2,2032.9165857791613
46,0,1,5747.091607935157
53,1,2,2363.360179859813
42,1,1,6156.2255354942645
38,1,1,4849.752154940872
53,1,2,8015.780948027709
27,0,1,10347.62797817021
54,1,3,7548.988292242551
26,1,1,-6625.27183910187
41,0,2,5306.736389438459
52,1,1,7503.170515752124
52,0,3,2600.4946546842075
65,0,2,8931.33519064367
53,1,1,7458.525855286427
35,0,3,9286.417709502326
56,0,1,227.47610263637034
49,1,1,8355.994622589096
41,1,2,-2169.385408290411
40,0,2,4107.491479120509
49,0,1,9880.243159759402
54,0,1,6225.258857144677
29,1,1,5906.267542284954
30,0,3,4067.890070582209
40,1,2,4471.254213916869
42,1,1,4633.518317804725
52,0,2,-149.49107207678026
58,1,1,-5179.172233668556
47,0,3,829.8932241245593
34,0,3,5711.06835507661
37,1,1,8997.468166430952
65,0,3,11677.576788212216
42,1,1,8443.00067340476
39,1,1,-1330.2831553932
30,0,2,6456.459716388181
36,0,2,-3594.48026611358
53,1,2,11014.221335197171
29,1,1,-3124.3378661482648
58,0,2,209.960384403852
36,1,1,7268.418500271495
29,1,2,8558.497833259133
26,1,1,3866.8739382604913
24,0,1,2008.0668055165957
45,1,1,10109.581951930275
31,0,3,14491.734189438928
48,0,3,8140.200309032016
36,0,1,826.2215951545345
64,1,1,7241.084292000578
33,1,2,8548.160128234838
22,1,2,15574.492266213838
52,0,3,10968.346005148003
29,1,1,12184.439630601413
42,0,3,15143.039995077695
38,1,1,7962.496459371351
53,1,3,9592.91920861803
40,0,1,2886.9625461728074
33,1,2,10784.007836293884
56,0,2,5662.234590589411
62,1,1,11500.866130009672
59,0,1,10657.493367511961
56,1,3,8542.570940556023
31,1,3,4490.850037905011
48,0,1,7462.770794962011
22,1,2,14459.442358397528
52,0,1,7444.190689150054
40,1,1,11719.3532603819
46,0,2,4300.592354510802
60,1,2,4677.716283986183
28,1,3,3433.076166807038
35,1,3,14731.648342217271
64,1,2,1069.4392216199903
29,1,1,-1712.7151862004657
26,1,2,7045.199077783243
27,0,2,6539.962143967952
61,1,1,-991.0464492683586
34,1,1,12030.965581779532
55,1,2,-849.8458037693781
24,0,1,4140.427617269247
63,1,3,14264.955672518548
30,0,2,5131.797060109159
57,0,3,3247.6255900639817
59,0,1,11382.170076834358
26,0,3,3603.904172739731
44,0,3,296.3576841406739
19,1,3,5620.92899208764
22,1,2,5527.765007905522
46,0,2,4472.747477641158
54,1,1,10528.347224350027
55,1,1,5471.990787171441
36,1,3,17400.646612384036
25,1,2,5394.999016651816
65,1,3,9979.454112313653
62,0,2,16970.14223646585
18,0,2,10796.093044839121
39,0,1,13022.444213922166
34,0,2,7777.6272102562
24,1,2,10588.232550370296
42,1,1,3327.1519928153575
62,0,1,10786.073224343032
21,0,1,-627.8206763010035
53,1,1,-3227.1341414268572
23,0,2,1912.5964278791803
48,1,2,7538.011544408304
36,0,2,4377.559118830992
61,1,2,3991.7032854245863
56,1,3,18926.14219385217
44,0,2,478.1213304242001
27,0,2,7095.122164585073
43,1,3,2898.0935779987203
36,0,3,7081.418909014995
56,0,3,4112.018334119046
20,1,3,13472.800199922169
62,0,3,8866.4327806593
30,0,2,11159.36627031675
45,1,1,8639.356103405016
37,0,2,7654.087165427492
45,1,2,1461.5105379530087
25,1,1,-6522.656558321298
58,1,2,6940.604161488516
56,1,2,9347.01056208803
18,1,1,-1003.5732210575752
20,0,2,1502.473854870937
30,1,1,3101.736563986235
45,0,2,4383.094049918451
42,1,3,5883.7164684543295
50,1,1,11034.588739933326
55,1,2,5552.977286224304
23,0,3,5883.356260158387
61,1,2,5058.953789447743
