age,monthly_income,debt_ratio,payment_history,accounts,tenure,delinquency,approval
56,4285,0.48821935919923853,0,1,1,0,0
69,9949,0.4012148277113289,0,3,6,1,0
46,4095,0.7955633625022697,0,3,13,1,0
32,1320,0.7636043591629952,0,3,5,1,0
60,3321,0.1339986812056707,0,1,8,0,0
25,1555,0.08851905256306758,1,2,13,1,0
38,5939,0.908153943227503,0,1,2,1,0
56,6432,0.5355083889644977,1,4,12,1,0
36,2386,0.8578009372825907,1,4,7,0,0
40,5763,0.05815112056640115,0,1,6,0,0
28,7854,0.5265156165216303,0,3,1,1,0
28,8637,0.5394265145762364,0,3,12,1,0
41,5841,0.8607020325421499,1,4,8,1,0
53,4867,0.0976099982297075,1,4,6,0,1
57,4793,0.2404455636759093,1,2,13,1,0
41,8373,0.4065383138870131,0,2,3,1,0
20,3513,0.8658414754199422,1,2,5,0,0
39,4803,0.938883315070567,0,4,7,0,0
19,3327,0.9927246195936279,0,2,9,1,0
41,9809,0.9591934864585215,1,4,4,1,0
61,3165,0.005941755844354413,1,4,12,0,1
47,4308,0.04770834145387204,0,1,14,1,0
55,7452,0.14760681915758866,1,2,2,0,1
19,9067,0.34886209677027313,1,1,3,1,0
38,8642,0.8299180309869587,0,1,7,1,0
50,7404,0.8926561953354805,1,2,8,1,0
29,1992,0.18683440629458303,1,4,5,0,1
39,6424,0.6196641516197087,0,4,3,1,0
61,5381,0.9173619850652766,0,4,1,0,0
42,4174,0.4637317359313208,1,2,10,1,0
66,5782,0.10354357195278396,1,4,13,0,1
44,6560,0.45781365008462493,1,1,1,1,0
59,8460,0.37579490228805723,0,3,11,0,0
45,4078,0.577657996066007,1,2,2,0,0
33,3983,0.43865868440710365,0,3,5,1,0
32,8259,0.01734592685371794,0,1,3,0,0
64,7054,0.9939977334136711,0,3,13,1,0
68,3523,0.5435402377305709,0,1,7,1,0
61,5581,0.47363075548460953,1,3,2,1,0
69,6609,0.954617371504054,1,3,2,0,0
20,3001,0.1558603675870771,1,4,3,1,0
54,2387,0.18923760254524824,1,3,13,1,0
68,7552,0.8080147490627835,1,1,12,1,0
24,2030,0.26083108002500877,0,1,1,0,0
